Block size	Block number	Set asociativity	Cache Hit	Cache Miss	Hit ratio
----------------------------------------------------------------------------------
16	128	4	30051843	2230961	93.09
32	64	4	30654028	1628776	94.95
64	32	4	30642255	1640549	94.92
128	16	4	30343686	1939118	93.99
16	512	4	31121658	1161146	96.40
32	256	4	31389200	893604	97.23
64	128	4	31548443	734361	97.73
128	64	4	31604015	678789	97.90
16	2048	4	32058572	224232	99.31
32	1024	4	32125830	156974	99.51
64	512	4	32154571	128233	99.60
128	256	4	32178756	104048	99.68
16	8192	4	32250656	32148	99.90
32	4096	4	32257495	25309	99.92
64	2048	4	32265290	17514	99.95
128	1024	4	32265215	17589	99.95
16	32768	4	32276101	6703	99.98
32	16384	4	32279277	3527	99.99
64	8192	4	32280975	1829	99.99
128	4096	4	32280943	1861	99.99
16	131072	4	32276446	6358	99.98
32	65536	4	32279458	3346	99.99
64	32768	4	32281006	1798	99.99
128	16384	4	32281733	1071	100.00
16	128	8	29857615	2425189	92.49
32	64	8	30289668	1993136	93.83
64	32	8	30405507	1877297	94.18
128	16	8	29448177	2834627	91.22
16	512	8	30789689	1493115	95.37
32	256	8	31058284	1224520	96.21
64	128	8	31564769	718035	97.78
128	64	8	31319308	963496	97.02
16	2048	8	31753876	528928	98.36
32	1024	8	31868941	413863	98.72
64	512	8	32045544	237260	99.27
128	256	8	31983116	299688	99.07
16	8192	8	32245862	36942	99.89
32	4096	8	32228189	54615	99.83
64	2048	8	32243214	39590	99.88
128	1024	8	32259070	23734	99.93
16	32768	8	32276330	6474	99.98
32	16384	8	32279358	3446	99.99
64	8192	8	32280913	1891	99.99
128	4096	8	32267997	14807	99.95
16	131072	8	32276445	6359	99.98
32	65536	8	32279459	3345	99.99
64	32768	8	32281008	1796	99.99
128	16384	8	32281813	991	100.00
16	128	16	30084668	2198136	93.19
32	64	16	30570489	1712315	94.70
64	32	16	30596460	1686344	94.78
128	16	16	30511377	1771427	94.51
16	512	16	31283650	999154	96.90
32	256	16	31516489	766315	97.63
64	128	16	31555453	727351	97.75
128	64	16	31580023	702781	97.82
16	2048	16	32253136	29668	99.91
32	1024	16	32225394	57410	99.82
64	512	16	32183420	99384	99.69
128	256	16	32209897	72907	99.77
16	8192	16	32275565	7239	99.98
32	4096	16	32278307	4497	99.99
64	2048	16	32279914	2890	99.99
128	1024	16	32279372	3432	99.99
16	32768	16	32276428	6376	99.98
32	16384	16	32279440	3364	99.99
64	8192	16	32280996	1808	99.99
128	4096	16	32281792	1012	100.00
16	131072	16	32276447	6357	99.98
32	65536	16	32279459	3345	99.99
64	32768	16	32281008	1796	99.99
128	16384	16	32281813	991	100.00
16	128	32	29516378	2766426	91.43
32	64	32	29712834	2569970	92.04
64	32	32	29781244	2501560	92.25
128	16	32	30201973	2080831 93.55
16	512	32	30823987	1458817	95.48
32	256	32	31169980	1112824	96.55
64	128	32	31345391	937413	97.10
128	64	32	31188503	1094301	96.61
16	2048	32	32128448	154356	99.52
32	1024	32	32169897	112907	99.65
64	512	32	32100813	181991	99.44
128	256	32	32096687	186117	99.42
16	8192	32	32273999	8805	99.97
32	4096	32	32277308	5496	99.98
64	2048	32	32277452	5352	99.98
128	1024	32	32277164	5640	99.98
16	32768	32	32276445	6359	99.98
32	16384	32	32279458	3346	99.99
64	8192	32	32281006	1798	99.99
128	4096	32	32281813	991	100.00
16	131072	32	32276447	6357	99.98
32	65536	32	32279459	3345	99.99
64	32768	32	32281008	1796	99.99
128	16384	32	32281813	991	100.00
